"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2850","TC_03.001.01 | Cart Management > Cart Icon > Verify cart badge count updates when adding items","chromium","Wed Nov 26 19:45:45 GMT+04:00 2025","passed","Wed Nov 26 19:45:48 GMT+04:00 2025","US_03 | Cart Management","cart_management.spec.js","",""
"","2661","TC_01.003.01 | User Management > Login > Verify Empty Password Validation","chromium","Wed Nov 26 19:45:56 GMT+04:00 2025","passed","Wed Nov 26 19:45:58 GMT+04:00 2025","US_01 | User Authentication","user_authentication.spec.js","",""
"","3097","TC_04.002.01 | Social Media > Facebook > Verify Facebook link opens in new tab with correct URL","chromium","Wed Nov 26 19:45:53 GMT+04:00 2025","passed","Wed Nov 26 19:45:56 GMT+04:00 2025","US_04 | Social Media Links","social_media_links.spec.js","",""
"","2050","TC_02.001.01 | Product Management > Sorting > Verify Price Ascending Sorting","chromium","Wed Nov 26 19:45:49 GMT+04:00 2025","passed","Wed Nov 26 19:45:51 GMT+04:00 2025","US_02 | Product Sorting","product_sorting.spec.js","",""
"","2274","TC_01.002.01 | User Management > Login > Verify Empty User Name Validation","chromium","Wed Nov 26 19:45:54 GMT+04:00 2025","passed","Wed Nov 26 19:45:56 GMT+04:00 2025","US_01 | User Authentication","user_authentication.spec.js","",""
"","2387","TC_05.003.01 | Checkout Process > Validation > Verify last name field validation error","chromium","Wed Nov 26 19:45:48 GMT+04:00 2025","passed","Wed Nov 26 19:45:51 GMT+04:00 2025","US_05 | Checkout Process","checkout_process.spec.js","",""
"","2024","TC_02.004.01 | Product Management > Sorting > Verify Name Descending Sorting","chromium","Wed Nov 26 19:45:51 GMT+04:00 2025","passed","Wed Nov 26 19:45:53 GMT+04:00 2025","US_02 | Product Sorting","product_sorting.spec.js","",""
"","2051","TC_02.003.01 | Product Management > Sorting > Verify Name Ascending Sorting","chromium","Wed Nov 26 19:45:51 GMT+04:00 2025","passed","Wed Nov 26 19:45:53 GMT+04:00 2025","US_02 | Product Sorting","product_sorting.spec.js","",""
"","2900","TC_03.003.01 | Cart Management > Continue Shopping > Verify Continue Shopping button functionality","chromium","Wed Nov 26 19:45:45 GMT+04:00 2025","passed","Wed Nov 26 19:45:48 GMT+04:00 2025","US_03 | Cart Management","cart_management.spec.js","",""
"","2375","TC_05.004.01 | Checkout Process > Validation > Verify postal code field validation error","chromium","Wed Nov 26 19:45:48 GMT+04:00 2025","passed","Wed Nov 26 19:45:51 GMT+04:00 2025","US_05 | Checkout Process","checkout_process.spec.js","",""
"","2444","TC_05.002.01 | Checkout Process > Validation > Verify first name field validation error","chromium","Wed Nov 26 19:45:48 GMT+04:00 2025","passed","Wed Nov 26 19:45:51 GMT+04:00 2025","US_05 | Checkout Process","checkout_process.spec.js","",""
"","3128","TC_05.001.01 | Checkout Process > Standard User > Verify successful checkout completion","chromium","Wed Nov 26 19:45:45 GMT+04:00 2025","passed","Wed Nov 26 19:45:48 GMT+04:00 2025","US_05 | Checkout Process","checkout_process.spec.js","",""
"","3106","TC_01.001.01 | User Management > Login > Verify Successful Standard User Login","chromium","Wed Nov 26 19:45:53 GMT+04:00 2025","passed","Wed Nov 26 19:45:56 GMT+04:00 2025","US_01 | User Authentication","user_authentication.spec.js","",""
"","1932","TC_01.004.01 | User Management > Login > Verify Invalid Credentials Validation","chromium","Wed Nov 26 19:45:56 GMT+04:00 2025","passed","Wed Nov 26 19:45:58 GMT+04:00 2025","US_01 | User Authentication","user_authentication.spec.js","",""
"","2048","TC_02.002.01 | Product Management > Sorting > Verify Price Descending Sorting","chromium","Wed Nov 26 19:45:51 GMT+04:00 2025","passed","Wed Nov 26 19:45:53 GMT+04:00 2025","US_02 | Product Sorting","product_sorting.spec.js","",""
"","3809","TC_04.003.01 | Social Media > LinkedIn > Verify LinkedIn link opens in new tab with correct URL","chromium","Wed Nov 26 19:45:53 GMT+04:00 2025","passed","Wed Nov 26 19:45:57 GMT+04:00 2025","US_04 | Social Media Links","social_media_links.spec.js","",""
"","3154","TC_04.001.01 | Social Media > Twitter > Verify Twitter link opens in new tab with correct URL","chromium","Wed Nov 26 19:45:51 GMT+04:00 2025","passed","Wed Nov 26 19:45:54 GMT+04:00 2025","US_04 | Social Media Links","social_media_links.spec.js","",""
"","2917","TC_03.002.01 | Cart Management > Cart Page > Verify items can be removed from cart page","chromium","Wed Nov 26 19:45:45 GMT+04:00 2025","passed","Wed Nov 26 19:45:48 GMT+04:00 2025","US_03 | Cart Management","cart_management.spec.js","",""
